УАЗ 3151  31519,2.9 л / 84 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,170 000 ₽,1998,100 000 км
УАЗ 3151  31519,2.9 л / 84 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый,150 000 ₽,2001,55 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый,720 000 ₽,2016,43 000 км
УАЗ 3151  31519,2.9 л / 98 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,220 000 ₽,2010,103 000 км
УАЗ Hunter  315195,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,300 000 ₽,2007,200 000 км
УАЗ 3151  31519,2.9 л / 84 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,180 000 ₽,1997,55 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,850 000 ₽,2018,15 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,420 000 ₽,2012,64 700 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,белый,750 000 ₽,2016,40 000 км
УАЗ Patriot I Рестайлинг,2.2 л / 114 л.с. / Дизель,механика,внедорожник 5 дв.,полный,серебристый,430 000 ₽,2012,115 200 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый,780 000 ₽,2017,11 600 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный,680 000 ₽,2016,38 000 км
УАЗ 3151  31519,2.9 л / 84 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,248 000 ₽,2005,151 237 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый,470 000 ₽,2013,28 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,коричневый,850 000 ₽,2017,40 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,550 000 ₽,2013,42 000 км
УАЗ 3151  31519,2.9 л / 84 л.с. / Бензин,механика,внедорожник 5 дв.,полный,голубой,250 000 ₽,1999,35 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый,435 000 ₽,2014,87 000 км
УАЗ Patriot I Рестайлинг 2,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный,700 000 ₽,2016,71 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,450 000 ₽,2013,103 000 км
УАЗ Patriot I Рестайлинг 2,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный,599 999 ₽,2015,70 000 км
УАЗ 3151  31514,2.5 л / 76 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый,250 000 ₽,1995,100 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый,750 000 ₽,2017,35 000 км
УАЗ Patriot Sport I 3164,2.7 л / 112 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный,350 000 ₽,2010,110 000 км
УАЗ Hunter  315195,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,фиолетовый,300 000 ₽,2006,90 500 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый,400 000 ₽,2010,99 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,240 000 ₽,2007,135 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,450 000 ₽,2012,80 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый,500 000 ₽,2014,47 000 км
УАЗ 3151  315192,2.9 л / 85 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серый,150 000 ₽,2003,120 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,300 000 ₽,2007,84 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,коричневый,920 000 ₽,2017,39 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,золотистый,500 000 ₽,2013,52 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,285 000 ₽,2009,105 000 км
УАЗ 3151  31514,2.5 л / 76 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,110 000 ₽,1995,87 000 км
УАЗ Hunter  315195,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,235 000 ₽,2007,330 000 км
УАЗ 3151  3151,2.5 л / 76 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,130 000 ₽,1985,43 940 км
УАЗ Pickup I,2.7 л / 128 л.с. / Бензин,механика,пикап двойная кабина,полный,чёрный,370 000 ₽,2012,120 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,коричневый,820 000 ₽,2017,55 000 км
УАЗ Patriot I Рестайлинг 3,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,700 000 ₽,2017,60 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,350 000 ₽,2011,90 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,499 000 ₽,2012,95 000 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,жёлтый,425 000 ₽,2012,80 380 км
УАЗ Patriot I Рестайлинг,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,470 000 ₽,2012,115 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,280 000 ₽,2006,103 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,250 000 ₽,2008,170 000 км
УАЗ Patriot I Рестайлинг 2,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,570 000 ₽,2014,104 000 км
УАЗ Hunter  315196,2.7 л / 112 л.с. / Бензин,механика,внедорожник 5 дв.,полный,зелёный,320 000 ₽,2010,57 000 км
УАЗ Hunter  315195,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,голубой,360 000 ₽,2008,150 000 км
УАЗ Patriot I Рестайлинг 2,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный,620 000 ₽,2014,75 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый,370 000 ₽,2012,115 000 км
УАЗ Patriot I Рестайлинг 2,2.7 л / 135 л.с. / Бензин,механика,внедорожник 5 дв.,полный,жёлтый,630 000 ₽,2016,42 000 км
УАЗ Patriot  I 3163,2.7 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,400 000 ₽,2011,74 250 км
